Name,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing City,Billing Province,Billing Country,Shipping City,Shipping Province,Shipping Country,Notes,Note Attributes,Cancelled at,Payment Method,Refunded Amount,Vendor,Risk Level,Source,Duties,Billing Province Name,Shipping Province Name
#4070,paid,27/12/2023 19:53,fulfilled,28/12/2023 12:08,yes,CAD,,0,Standard,27/12/2023 19:52,1,Rieker - N42K6-40- Gris - 37 / GRIS,N42K6.40 -0-0-0,true,true,fulfilled,Montréal,QC,CA,Montréal,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4070,,,,,,,,,,27/12/2023 19:52,1,Remonte - R3510-12- Bleu - 36 / BLEU,R3510.12 -0-0-0,true,true,fulfilled,,,,,,,,,,,,RIEKER,,,,,
#4069,paid,27/12/2023 19:25,fulfilled,28/12/2023 13:54,yes,CAD,,0,Standard,27/12/2023 19:25,1,Remonte - D0700-42- Gris - 40 / GRIS,D0700.42 -0-0-0,true,true,fulfilled,grenville,QC,CA,grenville,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4068,paid,27/12/2023 17:10,fulfilled,28/12/2023 11:58,yes,CAD,,0,Standard,27/12/2023 17:10,1,Rieker - B3343-00- Noir - 42 / NOIR,B3343.00 -0-0-0,true,true,fulfilled,St-Christophe d'arthabaska,QC,CA,St-Christophe d'arthabaska,QC,CA,,"lang: fr
Invoice Language: fr",,PayPal Express Checkout,0,RIEKER,Low,web,,Quebec,Quebec
#4067,paid,27/12/2023 14:55,fulfilled,28/12/2023 13:58,yes,CAD,,0,Standard,27/12/2023 14:55,1,Rieker - B3343-00- Noir - 41 / NOIR,B3343.00 -0-0-0,true,true,fulfilled,Blainville,QC,CA,Blainville,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4066,paid,27/12/2023 14:04,fulfilled,28/12/2023 11:23,yes,CAD,,0,Standard,27/12/2023 14:04,1,Rieker - 39870-25- Brun - 45 / BRUN,39870.25 -0-0-0,true,true,fulfilled,Montréal,QC,CA,Montréal,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4066,,,,,,,,,,27/12/2023 14:04,1,Remonte - R7674-36- Multi - 38 / MULTI,R7674.36 -0-0-0,true,true,fulfilled,,,,,,,,,,,,RIEKER,,,,,
#4065,paid,27/12/2023 11:29,fulfilled,30/12/2023 13:15,yes,CAD,,0,Pick up,27/12/2023 11:29,1,Remonte - D1B74-45- Gris - 40 / GRIS,D1B74.45 -0-0-0,true,true,fulfilled,Montréal,QC,CA,,,,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,
#4064,paid,27/12/2023 11:21,unfulfilled,,yes,CAD,,0,Standard,27/12/2023 11:21,1,Rieker - 62468-33- Rouge - 41 / ROUGE,62468.33 -0-0-0,true,true,pending,Saint-Paul,QC,CA,Saint-Paul,QC,CA,,"lang: fr
Invoice Language: fr",,PayPal Express Checkout,0,RIEKER,Low,web,,Quebec,Quebec
#4063,paid,27/12/2023 11:08,fulfilled,27/12/2023 14:08,yes,CAD,,0,Standard,27/12/2023 11:08,1,Remonte - R0701-03- Noir - 41 / NOIR,R0701.03 -0-0-0,true,true,fulfilled,Repentigny,QC,CA,Repentigny,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4063,,,,,,,,,,27/12/2023 11:08,1,Rieker - L7144-35- Bordeaux - 41 / BORDEAUX,L7144.35 -0-0-0,true,true,fulfilled,,,,,,,,,,,,RIEKER,,,,,
#4062,paid,27/12/2023 11:01,fulfilled,28/12/2023 11:41,yes,CAD,,0,Standard,27/12/2023 11:01,1,Rieker - 44281-35- Bordeaux - 38 / BORDEAUX,44281.35 -0-0-0,true,true,fulfilled,Saint-François-du-Lac,QC,CA,Saint-François-du-Lac,QC,CA,livré dans la verrière ,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4061,paid,27/12/2023 10:04,fulfilled,27/12/2023 15:27,yes,CAD,,0,Standard,27/12/2023 10:04,1,Remonte - R0770-01- Noir - 39 / NOIR,R0770.01 -0-0-0,true,true,fulfilled,Saint-Raymond,QC,CA,Saint-Raymond,QC,CA,,"lang: fr
Invoice Language: fr",,PayPal Express Checkout,0,RIEKER,Low,web,,Quebec,Quebec
#4060,refunded,27/12/2023 08:52,fulfilled,29/12/2023 13:27,yes,CAD,,0,Pick up,27/12/2023 08:52,1,Rieker - Z7055-00- Noir - 41 / NOIR,Z7055.00 -0-0-0,true,true,fulfilled,Montréal,QC,CA,,,,,"lang: fr
Invoice Language: fr",,Shopify Payments,147.17,RIEKER,Low,web,,Quebec,
#4059,paid,27/12/2023 04:10,fulfilled,27/12/2023 14:40,no,CAD,,0,Standard,27/12/2023 04:10,1,Remonte - D2413-01- Noir - 35 / NOIR,D2413.01 -0-0-0,true,true,fulfilled,Montréal,QC,CA,Montréal,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4058,paid,26/12/2023 22:38,fulfilled,27/12/2023 14:31,no,CAD,,0,Standard,26/12/2023 22:38,1,Olang - AIDAN ICE- Noir - 39 / NOIR,AIDAN 2.0 ICE -0-0-0,true,true,fulfilled,Notre-Dame-des-Prairies,QC,CA,Notre-Dame-des-Prairies,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,OLANG CANADA,Low,web,,Quebec,Quebec
#4057,paid,26/12/2023 21:03,fulfilled,27/12/2023 14:28,yes,CAD,,0,Standard,26/12/2023 21:03,1,Rieker - Y9232-00- Non coloré - 38,Y9232.00 -0-0-0,true,true,fulfilled,Ville de Québec,QC,CA,Ville de Québec,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4056,paid,26/12/2023 18:11,fulfilled,27/12/2023 13:48,yes,CAD,,0,Standard,26/12/2023 18:11,1,Rieker - L7173-00- Noir - 41 / NOIR,L7173.00 -0-0-0,true,true,fulfilled,montreal-nord,QC,CA,montreal-nord,QC,CA,,"lang: fr
Invoice Language: fr",,PayPal Express Checkout,0,RIEKER,Low,web,,Quebec,Quebec
#4055,paid,26/12/2023 17:33,fulfilled,27/12/2023 14:35,yes,CAD,,0,Standard,26/12/2023 17:33,1,Rieker - 30741-00- Noir - 42 / NOIR,30741.00 -0-0-0,true,true,fulfilled,Sainte-Anne-des-Monts,QC,CA,Sainte-Anne-des-Monts,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4054,paid,26/12/2023 16:59,fulfilled,27/12/2023 14:24,yes,CAD,,0,Standard,26/12/2023 16:59,1,Rieker - 73512-30- Violet - 39 / VIOLET,73512.30 -0-0-0,true,true,fulfilled,Repentigny,QC,CA,Repentigny,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4053,paid,26/12/2023 14:40,unfulfilled,,yes,CAD,,0,Standard,26/12/2023 14:40,1,Rieker - W0500-12- Bleu - 39 / BLEU,W0500.12 -0-0-0,true,true,pending,Lachute,QC,CA,Lachute,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4053,,,,,,,,,,26/12/2023 14:40,1,Remonte - D0916-00- Noir - 39 / NOIR,D0916.00 -0-0-0,true,true,pending,,,,,,,,,,,,RIEKER,,,,,
#4052,paid,26/12/2023 13:41,fulfilled,27/12/2023 15:43,no,CAD,Bienvenue10,10,Standard,26/12/2023 13:41,1,Remonte - D0U71-01- Noir - 37 / NOIR,D0U71.01 -0-0-0,true,true,fulfilled,Montréal,QC,CA,Montréal,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4051,paid,26/12/2023 13:11,fulfilled,26/12/2023 14:21,no,CAD,,0,Standard,26/12/2023 13:11,1,Rieker - X3433-00- Noir - 40 / NOIR,X3433.00 -0-0-0,true,true,fulfilled,Montréal,QC,CA,Montréal,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4050,refunded,26/12/2023 10:25,unfulfilled,,yes,CAD,,0,Standard,26/12/2023 10:25,1,Olang - GLAMOUR NERO- Noir - 39 / NOIR,GLAMOUR NERO -0-0-0,true,true,pending,Otterburn Park,QC,CA,Otterburn Park,QC,CA,,"lang: fr
Invoice Language: fr",26/12/2023 16:19,Shopify Payments,248.35,OLANG CANADA,Low,web,,Quebec,Quebec
#4049,paid,26/12/2023 09:28,fulfilled,27/12/2023 15:44,no,CAD,,0,Standard,26/12/2023 09:28,1,Remonte - D0C77-02- Noir - 42 / NOIR,D0C77.02 -0-0-0,true,true,fulfilled,Québec,QC,CA,Québec,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4048,paid,25/12/2023 12:02,fulfilled,28/12/2023 13:47,yes,CAD,,0,Standard,25/12/2023 12:02,1,Rieker - 25283-14- Bleu - 42 / BLEU,25283.14 -0-0-0,true,true,fulfilled,Montreal-West,QC,CA,Montreal-West,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4047,paid,25/12/2023 10:56,unfulfilled,,yes,CAD,,0,Standard,25/12/2023 10:56,1,Rieker - N42T0-14- Bleu - 39 / BLEU,N42T0.14 -0-0-0,true,true,pending,Coteau-Du-Lac,QC,CA,Coteau-Du-Lac,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4046,partially_refunded,24/12/2023 10:35,fulfilled,26/12/2023 13:35,yes,CAD,,0,Pick up,24/12/2023 10:35,1,Rieker - W0063-00- Noir - 39 / NOIR,W0063.00 -0-0-0,true,true,fulfilled,Montréal,QC,CA,,,,,"lang: fr
Invoice Language: fr",,Shopify Payments,165.56,RIEKER,Low,web,,Quebec,
#4046,,,,,,,,,,24/12/2023 10:35,1,Rieker - N6352-14- Bleu - 39 / BLEU,N6352.14 -0-0-0,true,true,fulfilled,,,,,,,,,,,,RIEKER,,,,,
#4045,paid,24/12/2023 10:02,fulfilled,27/12/2023 15:36,yes,CAD,,0,Standard,24/12/2023 10:02,1,Remonte - D9370-02- Noir - 39 / NOIR,D9370.02 -0-0-0,true,true,fulfilled,Gatineau,QC,CA,Gatineau,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4044,paid,23/12/2023 21:36,fulfilled,26/12/2023 11:41,yes,CAD,,0,Standard,23/12/2023 21:36,1,Rieker - Y9131-45- Gris - 38 / GRIS,Y9131.45 -0-0-0,true,true,fulfilled,Chambord,QC,CA,Chambord,QC,CA,,"lang: fr
Invoice Language: fr",,PayPal Express Checkout,0,RIEKER,Low,web,,Quebec,Quebec
#4043,paid,23/12/2023 18:45,fulfilled,24/12/2023 13:12,yes,CAD,,0,Standard,23/12/2023 18:45,1,Rieker - 537C0-35- Bordeau - 39 / BORDEAU,537C0.35 -0-0-0,true,true,fulfilled,Montréal-Est,QC,CA,Montréal-Est,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4042,paid,23/12/2023 14:10,fulfilled,24/12/2023 13:26,yes,CAD,,0,Standard,23/12/2023 14:10,1,Remonte - D0W70-01- Noir - 38 / NOIR,D0W70.01 -0-0-0,true,true,fulfilled,Saint-Michel-des-Saints,QC,CA,Saint-Michel-des-Saints,QC,CA,,"lang: fr
Invoice Language: fr",,PayPal Express Checkout,0,RIEKER,Low,web,,Quebec,Quebec
#4041,paid,21/12/2023 07:41,fulfilled,22/12/2023 15:27,no,CAD,,0,Pick up,21/12/2023 07:41,1,Rieker - 21076-14- Marine - 45 / MARINE,21076.14 -0-0-0,true,true,fulfilled,Montréal,QC,CA,,,,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,
#4040,paid,20/12/2023 13:29,fulfilled,22/12/2023 15:33,no,CAD,,0,Standard,20/12/2023 13:29,1,Remonte - D4391-36- Rouge - 40 / ROUGE,D4391.36 -0-0-0,true,true,fulfilled,Vaudreuil-Dorion,QC,CA,Vaudreuil-Dorion,QC,CA,,"lang: fr
Invoice Language: fr",,PayPal Express Checkout,0,RIEKER,Low,web,,Quebec,Quebec
#4039,paid,19/12/2023 14:04,fulfilled,21/12/2023 16:45,yes,CAD,,0,Standard,19/12/2023 14:04,1,Rieker - 14661-00- Noir - 42 / NOIR,14661.00 -0-0-0,true,true,fulfilled,Sainte-Adèle,QC,CA,Sainte-Adèle,QC,CA,,"lang: fr
Invoice Language: fr",,PayPal Express Checkout,0,RIEKER,Low,web,,Quebec,Quebec
#4038,paid,18/12/2023 20:40,fulfilled,19/12/2023 13:52,yes,CAD,,0,Express,18/12/2023 20:40,1,Remonte - R8276-01- Noir - 39 / NOIR,R8276.01 -0-0-0,true,true,fulfilled,Repentigny,QC,CA,Repentigny,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4037,paid,18/12/2023 15:46,fulfilled,20/12/2023 12:28,no,CAD,,0,Standard,18/12/2023 15:46,1,Rieker - 33200-24- Tan - 46 / TAN,33200.24 -0-0-0,true,true,fulfilled,Montréal,QC,CA,Montréal,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4036,paid,17/12/2023 17:43,fulfilled,24/12/2023 11:25,yes,CAD,,0,Standard,17/12/2023 17:43,1,Remonte - R1402-06- Noir - 38 / NOIR,R1402.06 -0-0-0,true,true,fulfilled,Beauceville,QC,CA,Beauceville,QC,CA,,"lang: fr
Invoice Language: fr",,PayPal Express Checkout,0,RIEKER,Low,web,,Quebec,Quebec
#4036,,,,,,,,,,17/12/2023 17:43,1,Remonte - D0700-00- Noir - 38 / NOIR,D0700.00 -0-0-0,true,true,fulfilled,,,,,,,,,,,,RIEKER,,,,,
#4035,paid,17/12/2023 10:45,fulfilled,19/12/2023 14:27,yes,CAD,,0,Standard,17/12/2023 10:45,1,Remonte - R1473-01- Noir - 38 / NOIR,R1473.01 -0-0-0,true,true,fulfilled,Chicoutimi,QC,CA,Chicoutimi,QC,CA,,"lang: fr
Invoice Language: fr",,PayPal Express Checkout,0,RIEKER,Low,web,,Quebec,Quebec
#4034,paid,17/12/2023 09:15,fulfilled,17/12/2023 15:56,yes,CAD,,0,Standard,17/12/2023 09:15,1,Remonte - R1402-06- Noir - 37 / NOIR,R1402.06 -0-0-0,true,true,fulfilled,Sainte-Agathe-des-Monts,QC,CA,Sainte-Agathe-des-Monts,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4033,paid,16/12/2023 15:20,fulfilled,20/12/2023 17:36,yes,CAD,,0,Standard,16/12/2023 15:20,1,Rieker - F5493-00- Noir - 43 / NOIR,F5493.00 -0-0-0,true,true,fulfilled,Repentigny,QC,CA,Repentigny,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4032,paid,16/12/2023 12:13,fulfilled,17/12/2023 15:49,yes,CAD,,0,Standard,16/12/2023 12:13,1,Rieker - X8250-00- Noir - 36 / NOIR,X8250.00 -0-0-0,true,true,fulfilled,Bowman,QC,CA,Bowman,QC,CA,,,,PayPal Express Checkout,0,RIEKER,Low,web,,Quebec,Quebec
#4031,paid,16/12/2023 10:56,fulfilled,20/12/2023 12:30,yes,CAD,,0,Standard,16/12/2023 10:56,1,Rieker - 64677-80- Blanc - 41 / BLANC,64677.80 -0-0-0,true,true,fulfilled,Gatineau,QC,CA,Gatineau,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4030,paid,16/12/2023 10:26,fulfilled,16/12/2023 10:28,yes,CAD,,0,Pick up,16/12/2023 10:26,1,Remonte - R7600-03- Noir - 38 / NOIR,R7600.03 -0-0-0,true,true,fulfilled,Montréal,QC,CA,,,,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,
#4029,paid,15/12/2023 13:40,fulfilled,16/12/2023 15:36,yes,CAD,,0,Standard,15/12/2023 13:40,1,Rieker - Z9563-00- Noir - 38 / NOIR,Z9563.00 -0-0-0,true,true,fulfilled,Grande-Rivière,QC,CA,Grande-Rivière-Ouest,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4028,paid,15/12/2023 11:26,fulfilled,15/12/2023 14:43,yes,CAD,,0,Standard,15/12/2023 11:26,1,Remonte - D9379-01- Noir - 39 / NOIR,D9379.01 -0-0-0,true,true,fulfilled,Léry,QC,CA,Léry,QC,CA,,"lang: fr
Invoice Language: fr",,PayPal Express Checkout,0,RIEKER,Low,web,,Quebec,Quebec
#4027,paid,14/12/2023 15:14,fulfilled,15/12/2023 12:24,yes,CAD,,0,Standard,14/12/2023 15:14,1,Rieker - Z4230-40- Gris - 40 / GRIS,Z4230.40 -0-0-0,true,true,fulfilled,Vaudreuil-Dorion,QC,CA,Vaudreuil-Dorion,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4026,paid,14/12/2023 11:44,fulfilled,15/12/2023 12:31,yes,CAD,,0,Standard,14/12/2023 11:44,1,Remonte - R1426-35- Rouge - 38 / ROUGE,R1426.35 -0-0-0,true,true,fulfilled,Prévost,QC,CA,Prévost,QC,CA,"Pour livraison, venir jusqu’à la porte avant de la maison. La porte de la clôture est ouverte, donc NE PAS laisser le colis dans le tempo ou sur le bord de la clôture de la cour!","lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4025,paid,13/12/2023 22:33,fulfilled,14/12/2023 14:05,no,CAD,,0,Standard,13/12/2023 22:33,1,Rieker - L7110-01- Noir - 40 / NOIR,L7110.01 -0-0-0,true,true,fulfilled,Mirabel,QC,CA,Mirabel,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4024,paid,13/12/2023 21:51,fulfilled,14/12/2023 13:15,yes,CAD,,0,Express,13/12/2023 21:51,1,Remonte - D0T03-01- Noir - 37 / NOIR,D0T03.01 -0-0-0,true,true,fulfilled,Paradise,NL,CA,Paradise,NL,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Newfoundland and Labrador,Newfoundland and Labrador
#4023,paid,13/12/2023 14:59,fulfilled,14/12/2023 14:28,yes,CAD,,0,Standard,13/12/2023 14:59,1,Remonte - R1426-38- Rouge - 38 / ROUGE,R1426.38 -0-0-0,true,true,fulfilled,Longueuil,QC,CA,Longueuil,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4022,refunded,13/12/2023 13:29,unfulfilled,,yes,CAD,,0,Pick up,13/12/2023 13:29,1,Jak - JAK-117- Multi - MULTI,JAK.117 ROUGE -0-0-0,true,true,pending,Montréal,QC,CA,,,,,"lang: fr
Invoice Language: fr",,Shopify Payments,48.29,JAKS,Low,web,,Quebec,
#4021,paid,13/12/2023 13:22,fulfilled,22/12/2023 14:03,yes,CAD,,0,Standard,13/12/2023 13:22,1,Rieker - 25690-14- Marine - 43 / MARINE,25690.14 -0-0-0,true,true,fulfilled,Mascouche,QC,CA,Mascouche,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4021,,,,,,,,,,13/12/2023 13:22,1,Remonte - R8373-35- Multi - 38 / MULTI,R8373.35 -0-0-0,true,true,fulfilled,,,,,,,,,,,,RIEKER,,,,,
#4020,paid,13/12/2023 11:25,fulfilled,14/12/2023 15:08,yes,CAD,,0,Standard,13/12/2023 11:25,1,Rieker - 45069-00- Noir - 36 / NOIR,45069.00 -0-0-0,true,true,fulfilled,Coaticook,QC,CA,Coaticook,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
